customer_key,customer_id,first_name,last_name,email
100,1,1,MARY,SMITH
101,1,2,PATRICIA,JOHNSON
102,1,3,LINDA,WILLIAMS
103,2,4,BARBARA,JONES
104,1,5,ELIZABETH,BROWN
105,2,6,JENNIFER,DAVIS
106,1,7,MARIA,MILLER
107,2,8,SUSAN,WILSON
108,2,9,MARGARET,MOORE
109,1,10,DOROTHY,TAYLOR
110,2,11,LISA,ANDERSON
111,1,12,NANCY,THOMAS
112,2,13,KAREN,JACKSON
113,2,14,BETTY,WHITE
114,1,15,HELEN,HARRIS
115,2,16,SANDRA,MARTIN
116,1,17,DONNA,THOMPSON
117,2,18,CAROL,GARCIA
118,1,19,RUTH,MARTINEZ
119,2,20,SHARON,ROBINSON
120,1,21,MICHELLE,CLARK
121,1,22,LAURA,RODRIGUEZ
122,2,23,SARAH,LEWIS
123,2,24,KIMBERLY,LEE
124,1,25,DEBORAH,WALKER
125,2,26,JESSICA,HALL
126,2,27,SHIRLEY,ALLEN
127,1,28,CYNTHIA,YOUNG
128,2,29,ANGELA,HERNANDEZ
129,1,30,MELISSA,KING
130,2,31,BRENDA,WRIGHT
131,1,32,AMY,LOPEZ
132,2,33,ANNA,HILL
133,2,34,REBECCA,SCOTT
134,2,35,VIRGINIA,GREEN
135,2,36,KATHLEEN,ADAMS
136,1,37,PAMELA,BAKER
137,1,38,MARTHA,GONZALEZ
138,1,39,DEBRA,NELSON
139,2,40,AMANDA,CARTER
140,1,41,STEPHANIE,MITCHELL
141,2,42,CAROLYN,PEREZ
142,2,43,CHRISTINE,ROBERTS
143,1,44,MARIE,TURNER
144,1,45,JANET,PHILLIPS
145,2,46,CATHERINE,CAMPBELL
146,1,47,FRANCES,PARKER
147,1,48,ANN,EVANS
148,2,49,JOYCE,EDWARDS
149,1,50,DIANE,COLLINS
150,1,51,ALICE,STEWART
151,1,52,JULIE,SANCHEZ
152,1,53,HEATHER,MORRIS
153,1,54,TERESA,ROGERS
154,2,55,DORIS,REED
155,1,56,GLORIA,COOK
156,2,57,EVELYN,MORGAN
157,1,58,JEAN,BELL
158,1,59,CHERYL,MURPHY
159,1,60,MILDRED,BAILEY
160,2,61,KATHERINE,RIVERA
161,1,62,JOAN,COOPER
162,1,63,ASHLEY,RICHARDSON
163,2,64,JUDITH,COX
164,2,65,ROSE,HOWARD
165,2,66,JANICE,WARD
166,1,67,KELLY,TORRES
167,1,68,NICOLE,PETERSON
168,2,69,JUDY,GRAY
169,2,70,CHRISTINA,RAMIREZ
170,1,71,KATHY,JAMES
171,2,72,THERESA,WATSON
172,2,73,BEVERLY,BROOKS
173,1,74,DENISE,KELLY
174,2,75,TAMMY,SANDERS
175,2,76,IRENE,PRICE
176,2,77,JANE,BENNETT
177,1,78,LORI,WOOD
178,1,79,RACHEL,BARNES
179,1,80,MARILYN,ROSS
180,1,81,ANDREA,HENDERSON
181,1,82,KATHRYN,COLEMAN
182,1,83,LOUISE,JENKINS
183,2,84,SARA,PERRY
184,2,85,ANNE,POWELL
185,2,86,JACQUELINE,LONG
186,1,87,WANDA,PATTERSON
187,2,88,BONNIE,HUGHES
188,1,89,JULIA,FLORES
189,2,90,RUBY,WASHINGTON
190,2,91,LOIS,BUTLER
191,2,92,TINA,SIMMONS
192,1,93,PHYLLIS,FOSTER
193,1,94,NORMA,GONZALES
194,2,95,PAULA,BRYANT
195,1,96,DIANA,ALEXANDER
196,2,97,ANNIE,RUSSELL
197,1,98,LILLIAN,GRIFFIN
198,2,99,EMILY,DIAZ
199,1,100,ROBIN,HAYES
200,1,101,PEGGY,MYERS
201,1,102,CRYSTAL,FORD
